U_id,U_name,U_invest_requirements,U_places,U_fund_stage,U_industry,U_check size max,U_check size min,U_website,U_pic_link
1,Keyhorse Capital,We invest in pre-seed and seed stage companies based in Kentucky. Keyhorse is the investment arm of Kentucky Science and Technology Corporation (KSTC).,Kentucky,Prototype (Seed),"AI, Biotech, Energy, Climate, Healthcare",$1M,$100k,https://www.keyhorse.vc/,https://www.openvc.app/images/funds/recPwxnEsFGIJ1FQD.jpg
2,Dr. Mohamad Saab,"As an investor, I bring value through:
- Business development support to accelerate growth.
- Strategic guidance based on hands-on experience.
- Industry connections to unlock key opportunities.
- Operational insight to help scale efficiently.","France, Qatar, Saudi Arabia, UAE","Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)","Biotech, Healthcare",$1M,$1k,https://www.linkedin.com/in/mohammad-saab-32827930/,https://www.openvc.app/images/funds/recpZePugSYptwi4g.jpg
3,J&T Ventures,We invest in companies at seed stage with proven product-market fit.,Czech Republic,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)","AI, Fintech, Consumer, Productivity",$3M ,$300k ,https://www.jtventures.cz,https://www.openvc.app/images/funds/recBlTk9lpUKjQZp7.jpg
4,Reuseful,"We invest in ""waste-to-value"" startups, tackling crucial environmental challenges by transforming waste into valuable resources. This alignment ensures our expertise and investments directly contribute to positive climate impact.",USA,"Idea (Pre-Seed), Prototype (Seed)","Climate, Energy, Biotech, Infrastructure",$500k ,$250k,https://www.reuseful.com/,https://www.openvc.app/images/funds/rec2QEPpPEjXUbHbq.jpg
5,"Haatch
","We invest in UK-based B2B SaaS pre-seed or seed stage start-ups. Haatch is industry-agnostic with a portfolio across applied AI, consumer, data infrastructure, edtech, fintech, future of work, healthtech, HRtech, media, product tools, proptech, retail-tech, sales enablement, and vertical SaaS. Our focus centres around evidence that the business is solving a deep pain or evidence of creating a massive impact for the customer alongside proof-of-value with a defined buyer.",UK,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)","AI, Analytics, Education, Fintech, Health & Wellness, HR & Recruiting, Infrastructure, Productivity, Real Estate, Retail",$620k,$150k,https://haatch.com/,https://www.openvc.app/images/funds/recTJ7TAoarqUxEbX.jpg
6,Epic Ventures,"We invest in Polish B2B software and deeptech companies, having already helped more than 30 startups in raising funding and M&As.",Poland,"Idea (Pre-Seed), Prototype (Seed)","AI, DevTools, Infrastructure, Cybersecurity, Analytics",$500k,$250k,http://www.epicventures.pl/,https://www.openvc.app/images/funds/recImQp4gJ93w4MtC.jpg
7,Aurelia Ventures,"- Enterprise executives or fmr. U.S. government veterans with at least 10 years of experience
- B2B software
- Customers or team in the US

Over the past six years, we have supported more than 160 early-stage startups across the enterprise, fintech, MLOps, and public safety sectors.",USA,"Scaling (Series B), Growth (Series C/D), Early revenue (Series A)","AI, Cybersecurity, DevTools, Fintech",$1k,$1k,https://aureliaventures.com/,https://www.openvc.app/images/funds/recieeFV68h11e7yF.jpg
8,"Pipeline Capital
","We invest across fintech, IoT, SaaS, eCommerce, and other technologies and prefer companies that have already seen product market fit, with experienced founders.",Australia,"Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D)","AI, Cybersecurity, DevTools, Fintech, Infrastructure",$1M,$100k,https://www.pipecapital.com/,https://www.openvc.app/images/funds/recB23vNaPuXbbadY.jpg
9,"Singtel Innov8
","We invest in 5G Enterprise & Applications, Data Privacy & Security, New Emerging Technologies","Australia, USA, China, Singapore, Israel","Early revenue (Series A), Scaling (Series B), Growth (Series C/D)","Cybersecurity, Infrastructure, AI, Hardware, Productivity",$5M,$1M,https://innov8.singtel.com/index.html,https://www.openvc.app/images/funds/recC8lr96CV1A7h2P.jpg
10,GVX.VC,We invest in clinicians as cofounders,"USA, India","Early revenue (Series A), Scaling (Series B)",Healthcare,$500k,$50k,https://globalventuresx.com/,https://www.openvc.app/images/funds/recZoJgb1zHKzAFxM.jpg
11,"DxAngels
",We invest in digital health startups at pre-seed to Series A. We back founders with strong founder-market fit and prior healthcare experience.,USA,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A), Scaling (Series B)",Healthcare,$500k,$200k,https://www.belalbadat.com/,https://www.openvc.app/images/funds/rec8jVLMirxJ2XF2a.jpg
12,"BH3 Growth Equity
","We invest in proptech, construction technology, sustainable building materials, modular construction, property management, hotels & hospitality and other adjacent real estate and construction sectors.
","USA, Canada","Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)","Real Estate, Construction",$30M,$5M,https://bh-3.com/investment-strategies/,https://www.openvc.app/images/funds/receFC1tdaYtHgb7L.jpg
13,DOMiNO Ventures,"We invest in founders who are solving new problems of the modern world in AI, Deeptech, Cleantech, Healthtech, Fintech, Hrtech, Edtech, Gametech, Cybersecurity and Life Science.","Poland, Georgia, Azerbaijan , Estonia , Kazakhstan, Uzbekistan, Turkey","Prototype (Seed), Early revenue (Series A), Scaling (Series B)","AI, Healthcare, Fintech, Education, Gaming",$1M,$100k,https://dominovc.com/,https://www.openvc.app/images/funds/reckWR1DMejThbMGi.jpg
14,Sabban Corp Investment,"We invest in Fintech, Manufacturing, Agriculture, Software, IoT, Logistics, Edtech",UAE,"Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)","Fintech, Logistics, Education, Agriculture",$600k,$600k,https://sabbancorp.com/,https://www.openvc.app/images/funds/recwyrSwaFA27DoOg.jpg
15,Stuart Nixdorff,"I invest in Deeptech, AI and Mobile",USA,"Idea (Pre-Seed), Prototype (Seed)","AI, Analytics, Energy",$50k,$10k,https://www.linkedin.com/in/nixdorff/,https://www.openvc.app/images/funds/recSeZqrn7SmwBQGZ.jpg
16,Nimai Management Consultants,"we facilitate investments for firms with a great fundamental and financials with the current aim of scaling ops
",UAE,"Scaling (Series B), Pre-IPO (Series E+)",Industry Agnostic,$10M,$500k,http://www.consultnimai.com/,https://www.openvc.app/images/funds/recjPlcTyAP2NPcIL.jpg
17,"14W
","We invest in consumer internet, marketplaces, e-commerce, CPG, and media.
","USA, UK, Germany, Luxembourg, Spain","Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)","Consumer, E-commerce, Media",$5M,$500k,http://www.14w.com/,https://www.openvc.app/images/funds/recsrrPcuoHegY0jv.jpg
18,"PT Saratoga Investama Sedaya Tbk
","We invest in high growing and scalable business
","Singapore, Philippines, Indonesia, Vietnam","Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)","Industry Agnostic, Aerospace, AI","$20M
",$5M,https://saratoga-investama.com/,https://www.openvc.app/images/funds/rece2S2sUGwL4wzkm.jpg
19,Section 32,"We invest in information technology, healthcare, and life sciences innovations.","Canada, India, Israel, Spain, UK, USA, Netherlands","Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)","AI, Software",$10M,$10k,https://www.section32.com/,https://www.openvc.app/images/funds/recs9tQO2SSdeMYCF.jpg
20,"Ascension Ventures
","We invest in healthcare ventures.
","USA, UK","Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)",Healthcare,$15M,$3k,http://ascensionventures.org/,https://www.openvc.app/images/funds/recbH1EmERFFADWxO.jpg
21,Maxrich Ventures GmbH,"We invest in medtech, healthtec, impact","Germany, Austria, Switzerland","Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)","Healthcare, Industry Agnostic","$3M
",$1M,https://maxrich-ventures.com/,https://www.openvc.app/images/funds/recBkr4xmEUwKem6v.jpg
22,Volition Capital,"We invest in high-potential, founder-owned technology companies across various sectors.
","USA, Canada, UK","Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)","Software, AI",$50M,$100k,http://www.volitioncapital.com/,https://www.openvc.app/images/funds/reczizE7uoo1RGzKh.jpg
23,"Northzone
","Northzone is a venture capital fund with a perspective shaped by lives as entrepreneurs. Established in 1996, they have raised over €1.5 billion in funds and partnered with the founders of Spotify, Avito, iZettle, Klarna, Hopin, and hundreds of others to build category-defining businesses. The firm has offices across the Nordics, London, and NewYork, it works around the clock to connect its companies with customers, business partners, and key talent on a truly international scale.","UK, USA, Germany, Spain, Sweden, Finland, Norway, Denmark, France, Italy","Early revenue (Series A), Scaling (Series B), Growth (Series C/D)","Fintech, Consumer, Healthcare",$15M,$1M,https://northzone.com/,https://www.openvc.app/images/funds/rec705W2FJWKMhOlb.jpg
24,Catalio Capital Management,We invest in breakthrough biomedical technology companies.,"USA, France","Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)",Biotech, $5M,$100k,https://www.cataliocapital.com/,https://www.openvc.app/images/funds/recFWpbu5JeEbhUSw.jpg
25,SVA,We invest in agnostic.,"Argentina, Australia, Brazil, Canada, China, Denmark, Estonia, France, Germany, India, Ireland, Israel, Italy, Malaysia, Philippines, Switzerland, UK, USA","Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+), Prototype (Seed)",Industry Agnostic,"$15M
",$25k,http://www.svangel.com/,https://www.openvc.app/images/funds/rectvpXmdwXCoHAwb.jpg
26,Celesta Capital,We invest in venture capital and disruptive technology companies.,"Australia, India, Israel, UAE, UK, USA","Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)",Venture Capital,$5M,$100k,https://www.celesta.vc/,https://www.openvc.app/images/funds/rec5XzMNGNzS1h8mA.jpg
27,"Intrinsic VC
",We invest in all sectors (generalists),"Canada, Japan, Malaysia, Vietnam, Singapore","Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)",Industry Agnostic, $3M,$100k,https://www.intrinsicvc.com/,https://www.openvc.app/images/funds/recAHafrXlFU3pf3L.jpg
28,France 2030 / SGPI,"We invest in EET technologies, hardware / industrial ventures, deep tech, agricultural transition, creative industries. We invest through our operators Bpifrance, Ademe Invest and Banque des territoires, via funds of funds (seed, growth, crossover, ...) or direct investments with a strong tech focus (EET technologies, hardware / industrial venture, deep tech, agricultural transition, creative industries...).
",France,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)","Electrical Engineering Technology, Hardware, Agriculture, Creative Industries","$100M
",$50k,https://www.info.gouv.fr/grand-dossier/france-2030,https://www.openvc.app/images/funds/rec5Wrxu9V51oVslT.jpg
29,"AIP Seed VC
","We invest in founders of all origins who wants to build something amazing from Poland or are polish diaspora. We are looking for global projects with AI component.
",Poland,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)","Industry Agnostic, AI",$400k,$50k,https://aipseed.vc/,https://www.openvc.app/images/funds/recR2OxZK87Wr08S2.jpg
30,Underline Ventures,We invest in Eastern European founders building high-growth startups with global ambitions. We are vertical-agnostic,"Czech Republic, Estonia , Poland, Albania, Belarus, Bosnia-H, Bulgaria, Croatia, Greece, Hungary, Latvia, Lithuania, Moldova, Montenegro, North Macedonia, Romania, Serbia, Slovakia, Slovenia, Ukraine","Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)",Industry Agnostic,"$1M
",$200k,https://underline.vc/,https://www.openvc.app/images/funds/recjJ6VPbaQmUo6pB.jpg
31,Capital Factory,"We invest in US-based technology companies where we can add additional value through our help with customer, employee, and investor connections. If you only want cash, we are not a fit. Our value is not our check nor its size, it's what we bring to the table. Our primary capital vehicle, is follow-on capital.
",USA,Scaling (Series B),"AI, Consumer, Cybersecurity, Fintech, Hardware, Healthcare",$200k,$25k,https://www.capitalfactory.com/,https://www.openvc.app/images/funds/recWrFydM5qmGnARr.jpg
32,Siddharth Roy,I invest in any ideas in general and have no restrictions in the domain,India,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A), Scaling (Series B)",Industry Agnostic,$10k,$1k,https://www.linkedin.com/in/siddharthroy2010/,https://www.openvc.app/images/funds/recIIXw318MPaYdb4.jpg
33,Lunar Ventures,We invest in early seed European startups building on the overlaps of software and deep tech,"Germany, Spain, France, UK, Romania, Czech Republic, Italy, Portugal, Belgium, Sweden","Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A)",Software,$1M,$300k,https://www.openvc.app/images/funds/recFp2IOWJTxDRM3D.jpg,https://www.openvc.app/images/funds/recFp2IOWJTxDRM3D.jpg
34,"Wei Capital Management
","We invest in Deep tech, comparable public listed companies that have a market cap of beyond $100 Billion, elite startup team.",USA,"Idea (Pre-Seed), Prototype (Seed), Early revenue (Series A), Scaling (Series B), Growth (Series C/D), Pre-IPO (Series E+)",Software,"$10M
",$50k,https://www.weicapitalmanagement.com/,https://www.openvc.app/images/funds/recT2mE1qWMmFcZcH.jpg
